REGION_ID,REGION_CODE,REGION_NAME,TOTAL_CO2,POWER,INDUSTRY,SURFACE_TRANSPORT,PUBLIC,RESIDENTIAL,AVIATION
None,None,None,MTCO2/day,MTCO2/day,MTCO2/day,MTCO2/day,MTCO2/day,MTCO2/day,MTCO2/day
46,GEO,Georgia,0.0297989842365495,0.003356002,0.007319556,0.0112831108272075,0.00147548364475369,0.005467969,0.00089686264982447
47,DEU,Germany,2.18550987308844,0.931597,0.30568025,0.480354700237512,0.131005823612213,0.24953489,0.0873372196219861
48,GHA,Ghana,0.0517870519688585,0.011480383,0.01163078,0.023061029613018,0.00165437825489789,0.0021557051,0.00180477627145592
49,GIB,Gibraltar,--,--,--,--,--,--,--
50,GRC,Greece,0.232389223179779,0.10303669,0.029554727,0.0702430829405784,0.00465588178485631,0.014170075,0.0107287702849134
51,GTM,Guatemala,0.0545416624954668,0.01212596,0.010868081,0.0278746131807565,5.03E-05,0.0027170202,0.000905673390661831
52,HTI,Haiti,0.00839777346027403,0.0023664958,0.0016762678,0.00351687590591609,8.22E-06,0.00065735995,0.00017255698912777
53,HND,Honduras,0.0278991788363782,0.007932385,0.006193781,0.0121430703438818,0.000651976908557117,0.00048898265,0.000488982695969753
54,HKG,Hong Kong,0.263594687450677,0.07104054,0.020922089,0.112766517326235,0.00212766998447477,0.00212767,0.0546102002263069
55,HUN,Hungary,0.138506422052159,0.040022075,0.023357593,0.0376999713480472,0.0127032520249485,0.022811214,0.00191231747157871
56,ISL,Iceland,0.0159249519419972,2.98E-05,0.002616029,0.00536136736627668,0.00265581626445055,4.97E-05,0.00521216428751358
57,IND,India,7.31513874325901,3.6284833,2.1523669,0.908938729204237,0.283588886260986,0.26904586,0.0727150961756706
58,IDN,Indonesia,1.70491880644112,0.7008362,0.4262297,0.427914424799382,0.0353787504136562,0.0707575,0.0438022632151842
59,IRN,Iran,2.00531804189085,0.678966,0.38882643,0.459880987182259,0.0986869111657142,0.36316782,0.0157899055629968
60,IRQ,Iraq,0.571130396565422,0.36024287,0.0503445,0.115792356198653,0,0.0369193,0.00783136673271656
61,IRL,Ireland,0.116260051610879,0.03402473,0.016745714,0.0342380510410293,0.0070395995862782,0.015785769,0.00842618755996227
62,ISR,Israel,0.186629072210052,0.104582705,0.017078321,0.0494743117596954,0.00581015041097998,0.0008803258,0.0088032582134474
63,ITA,Italy,0.975183959119021,0.34080502,0.11113207,0.288943408057093,0.0685314461588859,0.13058019,0.0351918237283825
64,JAM,Jamaica,0.026928436680464,0.007854127,0.007270678,0.00863954005762934,0.000964935694355517,0.00020196327,0.00199719239026308
65,JPN,Japan,3.28219864144921,1.6204065,0.636702,0.573031734675169,0.203744634985923,0.162359,0.085954762995243
66,JOR,Jordan,0.0698835830844473,0.026396066,0.009898525,0.0226346250274218,0.00290356716141104,0.004685302,0.00336549841449596
67,KAZ,Kazakhstan,0.888660531374625,0.5192669,0.22657318,0.0502516387496143,0.0317378751933574,0.054659676,0.00617125409189611
68,KEN,Kenya,0.0566742487899318,0.005368606,0.01716941,0.0237029030977282,0.000810355704743415,0.0040011313,0.00562184215596062
69,KOR,South Korea,1.94207009486854,1.0540603,0.27975917,0.382638342678546,0.0703910216689109,0.101074286,0.0541469361633062
70,RKS,Kosovo,0.0243959924591763,0.016142258,0.003189496,0.0036034001968801,0.00119301758240908,0.00021912566,4.87E-05
71,KWT,Kuwait,0.28612573002465,0.16845149,0.05856846,0.0478219510987401,0,0.0026866265,0.00859720539301633
72,KGZ,Kyrgyzstan,0.0277854580654093,0.004584877,0.004004862,0.00544108869507908,0.00127050804439932,0.012290784,0.000193338188182679
73,LVA,Latvia,0.0231676624498504,0.004353787,0.0029353586,0.0112292242702096,0.00218674377538263,0.0012805255,0.00118202356316032
74,LBN,Lebanon,0.0683006274775834,0.035511017,0.007965088,0.0211074817925691,0.000199127200176008,0.0015930176,0.00192489614710211
75,LBY,Libya,0.150947921574697,0.0736981,0.010951123,0.0612670977134257,0,0.0042916564,0.000739940805942751
76,LTU,Lithuania,0.0400692217517644,0.00861544,0.005310379,0.0207216178532689,0.0018939112778753,0.0024880795,0.00103979441337287
77,LUX,Luxembourg,0.0312389250611886,0.0007875359,0.0038326746,0.0165907572954893,0.00183758384082466,0.003202646,0.00498772738501429
78,MYS,Malaysia,0.727318271528929,0.34587714,0.1331906,0.190371891018003,0.0174333248287439,0.0097626615,0.0306826513260602
79,MLT,Malta,0.0247706813543118,0.0020302415,0.0001518343,0.020970485638827,0.000299330480629578,0.00012146745,0.00119732194525568
80,MUS,Mauritius,0.0210691852043964,0.00806056,0.0010374978,0.00816696928814053,0.000172916290466673,0.00045224265,0.00317899957735789
81,MEX,Mexico,1.3469640770927,0.54663205,0.24585363,0.431551576592028,0.0418474301695823,0.047078352,0.0340010337531566
82,MDA,Moldova,0.014299888163805,0.005183358,0.0027251262,0.00355390133336186,0.0010113869793713,0.0015732687,0.000252846744842827
83,MNG,Mongolia,0.0773292970770853,0.050525915,0.007779143,0.00824126973748207,0.00446723029017448,0.0059306333,0.000385106068279128
84,MNE,Montenegro,0.00566199843524373,0.0031088719,0.0004787112,0.00177178182639181,0.000115550981718115,3.30E-05,0.000154067980474792
85,MAR,Morocco,0.188937430008081,0.06213135,0.043782614,0.0497777456184849,0.00872018933296203,0.018348731,0.00617680078721605
86,MOZ,Mozambique,0.0230420117732137,0.0034733277,0.004040865,0.0112826405093073,0.00365493958815932,0.00027241788,0.000317820842610672
87,MMR,Myanmar,0.0726547415470122,0.02121201,0.02121201,0.012842645868659,0.0160172320902347,7.21E-05,0.00129869446391239
88,NAM,Namibia,0.0120096388263846,0.00023410602,0.0018494376,0.00547808082774281,0.00407344475388526,1.17E-05,0.000362864328053547
89,NPL,Nepal,0.0270751431817188,0,0.009525481,0.0112856235355138,0.00328732631169259,0.0017860276,0.00119068508502095
90,NLD,Netherlands,0.580075040459632,0.19262034,0.074391305,0.19129192084074,0.0420665107667446,0.04605176,0.0336532071232795
91,NZL,New Zealand,0.108583551133051,0.02028798,0.020192731,0.0454336435068398,0.00733415223658084,0.0017144771,0.0136205677408725
92,NIC,Nicaragua,0.0154930632452305,0.004060251,0.0026254256,0.00662461994215846,0.00148061790969222,0.00045792302,0.000244225626374827
93,NER,Niger,0.00679213069452089,0.0016074921,0.0007116171,0.00377411185763776,8.90E-05,0.00014613564,0.000463821834273403
94,NGA,Nigeria,0.356772493105381,0.093116574,0.056497697,0.190766915213316,0.00313876080326735,0.006626273,0.00662627327255904
95,MKD,North Macedonia,0.0200728117561084,0.010494417,0.0032658146,0.00539655936881899,0.000657145632430911,9.96E-05,0.000159308037837035
96,NOR,Norway,0.128607034916058,0.048091017,0.024166951,0.0398329604649916,0.00667930766940116,0.00072865176,0.00910814735107123
97,OMN,Oman,0.195605021202936,0.06839723,0.04996132,0.0422182362526655,0.0307879727333784,0.001659232,0.00258102780207991
98,PAK,Pakistan,0.620401158113963,0.17332037,0.20700453,0.166583524900488,0.0140861077234148,0.050832473,0.00857415259815752
99,PAN,Panama,0.0774964140218799,0.0059036324,0.0080313375,0.0549307530745863,0.000629321206361055,0.0017381252,0.0062632446133648
100,PRY,Paraguay,0.0207870190206449,0,0.0013640845,0.0184456799179315,0,0.0005497057,0.000427548860898241
101,PER,Peru,0.160052214399911,0.041990884,0.033318855,0.0654205832397565,0.00334709952585399,0.0073027625,0.00867203064262867
102,PHL,Philippines,0.383374094148166,0.17429459,0.074380495,0.0899226899491623,0.0192427150905132,0.0085112015,0.0170224020257592
103,POL,Poland,0.951553083024919,0.47907075,0.11388519,0.18729876819998,0.0545895919203758,0.109179184,0.00752959959208965
104,PRT,Portugal,0.156124699744395,0.06417995,0.02148633,0.0489720883779227,0.00572038674727082,0.0044646924,0.0113012519432231
105,QAT,Qatar,0.319762454484589,0.18606992,0.054403022,0.0471685789525508,0,0.0014468889,0.0306740440428257
